ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
93908,16.1,28,62,,,MHz,,MHz,,Panel(1sector),RR2VV-6533D-R6_850,Commscope
93910,19,36,30,,,MHz,,MHz,,Panel(Multi-sector),RR2VV-6533D-R6_1800,Commscope
93911,19.5,36,30,,,MHz,,MHz,,Panel(Multi-sector),RR2VV-6533D-R6_2100,Commscope
93965,40.8,67,1.3,,,MHz,,MHz,,Parabolic High Performance,VHLPX6-7W/D,Andrew
93994,20.2,30,33,,,MHz,,MHz,,Cellular,AW3843 (3.4),Alpha Wireless
93995,20.2,30,33,,,MHz,,MHz,,Cellular,AW3843 (2.3),Alpha Wireless
93996,17.7,25,63,,,MHz,,MHz,,Cellular,AW3842 (3.4),Alpha Wireless
93997,17.6,25,63,,,MHz,,MHz,,Cellular,AW3842 (2.3),Alpha Wireless
94,18.2,20,18,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,YV11-4(H),RFS
94104,43.8,73,1,,,MHz,,MHz,,Parabolic Dual Band,ANT0/0 B 1.8 6/11 HPX/HPX (11 GHz),Ericsson
94152,5.2,0,360,,,MHz,,MHz,,Parallel array of vertical dipoles,214-P2-ICE,Polar Electronic Industries
94203,35.8,60,2.2,,,MHz,,MHz,,Parabolic Dual Band,ANT3/3 C 1.2 7/8/18 HPX/HPX (8 GHz),Ericsson
94204,43.2,70,0.8,,,MHz,,MHz,,Parabolic Dual Band,ANT3/3 C 1.2 7/8/18 HPX/HPX (18 GHz),Ericsson
94256,22.5,28,13,,,MHz,,MHz,,Lens,MS-MBA-4.4-SH2-SH2-45 (3.4),Matsing
94257,20.5,28,17,,,MHz,,MHz,,Lens,MS-MBA-4.4-SH2-SH2-45 (2.3),Matsing
94265,39,67,2.1,,,MHz,,MHz,,Parabolic High Performance,VHLP2-18/D,Andrew
94327,15.1,30,70,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_700,Commscope
94328,15.7,29,61,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_900,Commscope
94329,16.3,28,68,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_1800,Commscope
94330,16.3,28,68,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_2100,Commscope
94332,17.2,31,63,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_2600,Commscope
94335,20.8,29,90,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65B-R8_BF3500,Commscope
