LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
13020603/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020846,20064714_CTL260-7,,,
13028662/1,53715,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2026-12-01,1,Granted,13028853,20064714_ME291,,,
13031849/1,1144661,2,200,Fixed,Point to Multipoint,2026-06-05,2026-06-05,2027-06-04,1,Granted,13032009,20006728_Fraser_Coast_ptmpt_RV_150526,,,
13031850/1,1144661,2,200,Fixed,Point to Multipoint,2026-06-05,2026-06-05,2027-06-04,1,Granted,13032010,20006728_Fraser_Coast_ptmpt_RV_150526,,,
13035820/1,52399,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-22,2026-05-22,2027-01-24,1,Granted,13035921,1130096_SC1297C,,,
13035821/1,52399,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-22,2026-05-22,2027-01-24,1,Granted,13035922,1130096_SC1297D,,,
13038548/1,1401916,2,203,Fixed,Point to Point,2026-05-29,2026-05-29,2027-09-30,1,Granted,13038612,20016317_JSMFAC16478,,,
13038549/1,84379,2,203,Fixed,Point to Point,2026-05-29,2026-05-29,2027-08-31,1,Granted,13038613,20016317_JSMFAC16479,,,
13054096/1,63553,5,501,Maritime Coast,Limited Coast Assigned System,2026-07-15,2026-07-15,2027-07-14,1,Granted,13054239,20025735_260264_resub,,,
13058274/1,1409360,2,203,Fixed,Point to Point,2026-06-23,2026-06-23,2027-05-01,1,Granted,13058793,20056206_App_Sub_015029,,,
13058275/1,1409360,2,203,Fixed,Point to Point,2026-06-23,2026-06-23,2027-05-01,1,Granted,13058794,20056206_App_Sub_015029,,,
13078155/1,58050,2,203,Fixed,Point to Point,2026-07-23,2026-07-23,2027-05-04,1,Granted,13078525,20016317_JSMFAC16715,,,
