CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
54167,Volunteer Marine Rescue Victoria Point Assoc Inc,,,,PO Box 3276,VICTORIA POINT WEST,QLD,4165,14,6,3
54967,Channel Seven Brisbane Pty Limited,Channel Seven Brisbane Pty Limited,009684020,75009684020,GPO Box 604,BRISBANE,QLD,4001,15,5,1
54976,Brisbane Area Wicen Group Inc,Brisbane Area Wicen Group Inc,,,PO Box 764,ARCHERFIELD BC,QLD,4108,14,6,1
55666,Paul Raymond Benvenuti,Burdekin Communications,,,93 Graham Street,AYR,QLD,4807,8,7,1
55679,Burdekin Shire Council,Burdekin Shire Council,,66393843289,PO Box 974,AYR,QLD,4807,10,4,1
56139,Toowoomba Regional Council,ICT-Voice,,99788305360,PO Box 3021 ICT-Voice,TOOWOOMBA VILLAGE FAIR,QLD,4350,15,4,1
56398,Anglo Coal (Capcoal Management) Pty Limited,Attn: Dylan Hunt,010037564,73010037564,PMB 1,MIDDLEMOUNT,QLD,4746,15,5,1
56921,Central Burnett UHF CB Repeater Association,,,,PO Box 185,MUNDUBBERA,QLD,4626,15,6,1
58050,Queensland Police Service,Radio and Electronics Section,,29409225509,20 Pickering Street Maintenance Control Services,ALDERLEY,QLD,4051,10,3,1
58075,The Trustee For D J Guerin Family Trust,Comtel Pty Limited  North Toowoomba,,38357822188,2 Ann St,NORTH TOOWOOMBA,QLD,4350,8,6,1
59235,Bunya Mts & District AmCom Inc,Bunya Mts & District AmCom Inc,,76237395986,PO Box 258,DALBY,QLD,4405,14,6,1
59938,Department of Transport and Main Roads (Queensland Transport),Department of Transport and Main Roads (Queensland Transport),,13200330520,MacArthur Avenue East (Mgr MTS Section),PINKENBA,QLD,4008,7,3,1
60974,DEPARTMENT OF EDUCATION AND TRAINING,Maroon Outdoor Education Centre,,76337613647,MS 488,BOONAH,QLD,4310,11,3,1
61281,KJ Emerson,,,,PO Box 64,MALANDA,QLD,4885,15,6,1
61629,Family Radio Limited,Family Radio Ltd,067249281,12067249281,PO Box 965,MILTON BC,QLD,4064,8,5,1
62687,Gladstone Amateur Radio Club Incorporated,Gladstone Amateur Radio Club Incorporated,,24766374980,PO Box 128,Gladstone DC,QLD,4680,14,6,1
63254,BUNDABERG SUGAR GROUP LTD,Bingera Mill,009658164,75009658164,PO Box 500,BUNDABERG,QLD,4670,15,5,1
63553,Gold Coast Amateur Radio Society Inc,Gold Coast Amateur Radio Society Inc,,55525134072,PO Box 588,SOUTHPORT,QLD,4125,14,6,1
63560,Gold Coast City Council,Gold Coast City Council,,84858548460,PO Box 5042 (Accounts Payable),GOLD COAST MC,QLD,9729,10,4,1
64340,Guerin DJ & Tebbitt DL,,,,2 Ann St,TOOWOOMBA,QLD,4350,15,6,1
69016,Jones Communications Pty. Ltd.,Jones Communications Pty. Ltd.,009852779,22009852779,PO Box 253 (Jones Comms NO 1),GLADSTONE DC,QLD,4680,8,5,1
70257,Kyle Communications Pty Ltd,Kyle Communications Pty Ltd,079083855,19079083855,25 Cameron Road,BURPENGARY,QLD,4505,8,5,1
70610,Australia Pacific LNG Pty Limited,Telecommunications Superintendent,001646331,68001646331,GPO Box 148,BRISBANE,QLD,4001,15,5,1
71389,Logan City Council,Plant Fleet Services – Attn: Workshop Program Leader,,21627796435,PO Box 3226,LOGAN CITY DC,QLD,4114,10,4,1
71843,MALCOM B & KARIN H G KILPATRICK,M & K WIDEBAY ELECTRONICS,,69923581208,50 Old Maryborough Rd,PIALBA,QLD,4655,8,6,1
71963,Mackay Regional Council,Atten : Information Services Manger,,56240712069,PO Box 41,MACKAY,QLD,4740,10,4,1
